feature,importance
customer_lifetime_days,33088.308592937596
avg_basket_size,27479.964227363467
rfm_monetary_std,25413.130527394245
engagement_score_normalized,23876.916482254863
rfm_monetary_avg,23851.922026660293
rfm_monetary_total,21392.81013256265
purchase_frequency_per_month,13335.726975277066
rfm_frequency_count,11161.681656569242
std_basket_size,9653.800527771935
engagement_score,8834.376631972584
rfm_recency_days,8413.92959738709
product_diversity_hhi,8106.532305598259
days_since_first_purchase,6206.809989401372
revenue_very_long_180d,5853.081029713154
unique_products_count,5445.273567812052
revenue_trend_slope,4923.034598652273
transaction_trend_slope,4693.523882381618
return_rate,4619.931569695473
revenue_long_90d,4418.700876405113
revenue_medium_60d,2310.6893643066287
txn_count_long_90d,2297.8161504268646
txn_count_very_long_180d,1928.5831665992737
txn_count_medium_60d,1477.5936579110203
activity_score,1296.3161296686158
revenue_short_30d,1128.1961609870195
txn_count_short_30d,750.4571688473225
revenue_trend_direction,374.9099391102791
transaction_trend_direction,107.30916778743267
interpurchase_time_mean,0.0
interpurchase_time_std,0.0
interpurchase_time_median,0.0
interpurchase_time_cv,0.0
consistency_score,0.0
