feature,importance
customer_lifetime_days,600343.3833184242
avg_basket_size,450576.23916721344
rfm_monetary_total,413675.9214334488
rfm_monetary_std,413665.49404990673
rfm_monetary_avg,345372.72399687767
std_basket_size,324040.7858901024
engagement_score_normalized,267553.2521908283
rfm_frequency_count,170121.47860121727
purchase_frequency_per_month,163294.81286621094
product_diversity_hhi,129591.63824987411
revenue_long_90d,126172.54104232788
engagement_score,123142.76993739605
revenue_very_long_180d,105554.57225942612
unique_products_count,66240.690908432
revenue_trend_slope,46068.482025802135
return_rate,44297.22492861748
rfm_recency_days,39206.80220460892
transaction_trend_slope,34678.55026125908
days_since_first_purchase,33661.34530329704
txn_count_very_long_180d,26894.173042058945
revenue_medium_60d,25557.981452465057
txn_count_long_90d,21949.351995825768
revenue_short_30d,11798.485210418701
txn_count_medium_60d,11325.460012674332
activity_score,9101.737619876862
txn_count_short_30d,5442.323924064636
revenue_trend_direction,1786.3279075622559
transaction_trend_direction,1069.8156905174255
interpurchase_time_mean,0.0
interpurchase_time_std,0.0
interpurchase_time_median,0.0
interpurchase_time_cv,0.0
consistency_score,0.0
